x;y;z;time
-2,18; 2,73; 8,71; 2716421255
-1,95; 2,77; 8,90; 2716421275
-2,14; 2,56; 9,06; 2716421293
-2,42; 2,33; 9,00; 2716421312
-2,52; 2,38; 8,49; 2716421332
-2,25; 2,19; 8,79; 2716421352
-1,77; 1,99; 9,77; 2716421370
-1,91; 2,12; 9,21; 2716421389
-2,11; 2,16; 8,10; 2716421411
-2,64; 1,96; 6,50; 2716421429
-3,16; 1,33; 4,87; 2716421447
-1,77; 0,82; 4,82; 2716421468
-0,44; 0,35; 5,14; 2716421485
0,06; -0,79; 7,02; 2716421506
-0,43; -1,58; 9,59; 2716421527
0,45; -1,97; 11,27; 2716421544
3,70; -2,88; 10,15; 2716421564
5,14; -2,76; 9,96; 2716421584
4,81; -2,70; 10,89; 2716421602
4,31; -1,81; 11,32; 2716421628
4,47; -0,36; 11,68; 2716421644
5,46; -0,25; 10,69; 2716421661
5,68; -0,81; 9,05; 2716421680
5,57; -2,18; 8,61; 2716421699
3,81; -3,15; 8,23; 2716421719
3,90; -3,88; 6,85; 2716421738
4,33; -4,02; 6,11; 2716421759
4,66; -4,44; 6,52; 2716421777
4,43; -5,45; 7,12; 2716421796
3,97; -6,39; 7,71; 2716421816
4,61; -6,69; 7,99; 2716421836
4,95; -6,99; 7,81; 2716421857
4,32; -7,04; 8,00; 2716421879
3,38; -7,35; 7,28; 2716421895
3,43; -6,80; 6,79; 2716421913
4,01; -6,25; 6,34; 2716421933
4,23; -5,86; 6,19; 2716421953
4,61; -5,54; 6,78; 2716421972
4,95; -5,32; 6,78; 2716421991
5,20; -5,16; 6,45; 2716422010
5,13; -5,80; 7,31; 2716422030
5,19; -6,37; 6,93; 2716422049
4,69; -6,58; 5,77; 2716422069
4,71; -6,66; 5,14; 2716422089
5,50; -7,37; 4,05; 2716422112
5,63; -7,65; 4,70; 2716422129
5,36; -7,68; 5,72; 2716422146
4,74; -8,21; 3,78; 2716422165
3,10; -9,06; 2,68; 2716422185
2,97; -9,97; 1,80; 2716422205
4,07; -9,72; 3,75; 2716422229
4,91; -8,88; 4,84; 2716422247
5,93; -8,30; 4,12; 2716422262
6,19; -7,85; 3,46; 2716422281
4,94; -8,38; 3,59; 2716450186
5,41; -8,71; 3,14; 2716450199
5,54; -8,63; 2,96; 2716450216
5,68; -8,14; 2,44; 2716450236
5,57; -7,77; 2,43; 2716450256
6,11; -7,38; 1,84; 2716450276
5,90; -7,29; 2,29; 2716450300
6,34; -7,44; 2,15; 2716450314
7,33; -6,85; 1,99; 2716450334
6,63; -8,26; 2,56; 2716450354
5,23; -8,33; 2,09; 2716450372
5,72; -7,27; 2,47; 2716450391
6,31; -6,45; 2,50; 2716450416
6,60; -6,49; 2,43; 2716450432
7,24; -6,26; 2,67; 2716450451
7,50; -6,13; 2,79; 2716450468
6,53; -6,63; 2,67; 2716450488
6,61; -6,58; 2,90; 2716450509
6,53; -6,71; 2,54; 2716450532
7,60; -5,26; 2,73; 2716450549
7,12; -5,46; 2,34; 2716450566
7,25; -5,59; 2,32; 2716450588
7,03; -5,98; 2,41; 2716450606
7,41; -5,59; 2,36; 2716450625
6,23; -6,55; 2,27; 2716450649
5,46; -7,29; 1,95; 2716450664
6,56; -6,69; 2,03; 2716450682
6,86; -6,61; 1,76; 2716450704
7,41; -5,87; 1,67; 2716450721
6,78; -6,53; 1,99; 2716450741
7,37; -6,33; 1,75; 2716450760
7,04; -7,17; 1,95; 2716450782
8,12; -5,96; 1,74; 2716450798
8,27; -5,17; 1,43; 2716450820
7,97; -5,23; 1,56; 2716450837
8,21; -5,32; 1,37; 2716450857
8,43; -5,00; 1,55; 2716450884
8,13; -4,85; 0,92; 2716450900
