x;y;z;time
7,67; -3,70; 5,00; 746939473
7,65; -3,75; 5,00; 746939500
7,66; -3,79; 5,10; 746939513
7,61; -3,79; 5,15; 746939541
7,53; -3,72; 5,20; 746939553
7,48; -3,51; 5,14; 746939582
7,50; -3,46; 5,06; 746939594
7,61; -3,37; 4,99; 746939614
7,75; -3,24; 5,04; 746939632
7,92; -3,06; 5,25; 746939656
7,93; -2,87; 5,34; 746939673
8,17; -2,39; 5,65; 746939700
8,57; -2,33; 5,79; 746939712
9,14; -1,99; 5,85; 746939740
9,12; -1,75; 5,82; 746939753
8,94; -1,35; 5,94; 746939782
9,21; -1,28; 6,10; 746939793
10,15; -1,25; 6,51; 746939815
10,69; -1,17; 6,68; 746939834
10,82; -1,06; 6,01; 746939858
10,98; -1,12; 5,55; 746939873
11,58; -1,30; 5,14; 746939900
11,70; -1,36; 4,84; 746939912
11,49; -1,26; 4,37; 746939940
11,63; -1,71; 3,91; 746939954
11,03; -2,00; 3,52; 746939983
10,88; -2,11; 3,41; 746939994
10,74; -1,85; 3,39; 746940015
10,48; -1,69; 3,31; 746940032
9,88; -1,68; 3,12; 746940057
10,40; -1,55; 3,16; 746940073
11,10; -1,50; 2,46; 746940099
10,91; -1,34; 1,91; 746940113
10,52; -1,32; 1,56; 746940141
10,38; -1,22; 1,75; 746940154
10,23; -1,38; 2,20; 746940183
10,09; -1,56; 2,04; 746940196
9,86; -1,78; 1,61; 746940215
9,45; -1,99; 1,32; 746940233
7,95; -1,94; 1,36; 746940256
7,19; -1,87; 1,71; 746940273
6,76; -1,38; 2,16; 746940300
6,90; -1,07; 1,92; 746940312
7,16; -0,93; 0,56; 746940340
6,83; -0,89; -0,09; 746940356
5,74; -0,53; -0,49; 746940382
5,75; -0,63; -0,35; 746940396
6,07; -1,16; 0,08; 746940415
6,14; -1,29; 0,27; 746940433
5,58; -1,56; 0,50; 746940456
5,35; -1,80; 0,62; 746940474
5,82; -2,47; 0,61; 746940500
6,11; -2,83; 0,44; 746940512
6,95; -3,98; 0,17; 746940541
7,14; -4,33; 0,40; 746940555
7,32; -4,93; 1,26; 746940582
7,86; -5,29; 1,45; 746940596
8,75; -5,60; 1,74; 746940615
8,77; -5,33; 2,11; 746940632
8,65; -5,14; 1,79; 746940657
9,26; -5,35; 1,16; 746940673
10,85; -6,12; 0,64; 746940700
11,49; -6,42; 0,86; 746940713
12,42; -6,47; 1,95; 746940741
13,12; -6,69; 2,02; 746940755
14,55; -6,59; 0,79; 746940783
14,62; -6,42; 0,51; 746940792
14,29; -6,41; 0,36; 746940814
14,33; -6,59; 0,66; 746940834
14,39; -6,65; 1,75; 746940856
13,88; -6,39; 2,38; 746940874
13,36; -5,55; 3,43; 746940900
13,30; -5,08; 3,52; 746940913
13,21; -4,19; 2,64; 746940942
13,03; -3,91; 2,36; 746940956
12,73; -3,47; 2,50; 746940981
12,50; -3,26; 2,64; 746940992
11,97; -2,57; 2,92; 746941015
11,84; -1,92; 3,17; 746941033
11,81; -1,22; 3,12; 746941056
11,88; -0,71; 3,17; 746941073
12,12; -0,43; 2,75; 746941101
11,86; -0,03; 2,73; 746941115
12,78; -0,01; 3,22; 746941140
13,29; -0,18; 3,42; 746941152
14,11; -1,61; 3,28; 746941182
14,42; -2,17; 3,23; 746941193
15,41; -3,52; 2,85; 746941217
16,24; -4,71; 2,18; 746941233
16,98; -5,70; 1,35; 746941258
17,05; -6,34; 0,76; 746941274
16,54; -7,41; 0,62; 746941301
16,68; -8,05; 0,65; 746941316
17,10; -9,29; -0,11; 746941341
16,71; -9,80; -0,30; 746941353
14,98; -9,97; 0,17; 746941382
14,40; -9,85; 0,23; 746941392
12,85; -9,49; -0,04; 746941415
11,65; -9,14; -0,35; 746941433
10,85; -8,85; -0,79; 746941457
10,18; -8,34; -0,99; 746941474
9,09; -7,32; -0,86; 746941500
8,56; -6,86; -0,79; 746941512
7,10; -5,87; -0,80; 746941543
6,74; -5,54; -0,71; 746941552
6,14; -4,82; -0,79; 746941583
5,81; -4,49; -0,98; 746941592
5,08; -3,87; -1,33; 746941616
4,87; -3,58; -1,29; 746941632
5,16; -3,27; -1,13; 746941656
5,01; -3,17; -1,24; 746941673
4,04; -3,08; -1,35; 746941700
3,80; -3,16; -1,39; 746941712
4,08; -3,15; -1,28; 746941740
4,38; -3,22; -1,21; 746941752
4,38; -3,33; -0,93; 746941782
4,41; -3,59; -0,84; 746941792
4,70; -3,95; -0,94; 746941815
4,87; -4,17; -0,95; 746941833
4,87; -4,32; -0,58; 746941857
5,49; -4,89; -0,31; 746941873
7,49; -5,57; -0,52; 746941900
7,99; -5,51; -0,87; 746941915
6,60; -5,28; -0,02; 746941944
7,08; -5,93; 0,58; 746941952
10,80; -7,26; 0,67; 746941983
12,15; -7,80; 0,21; 746941992
12,88; -8,29; -0,65; 746942016
12,47; -8,38; -0,06; 746942032
13,98; -9,26; 0,34; 746942057
15,14; -9,32; -0,06; 746942073
15,88; -9,44; -0,87; 746942101
15,61; -9,49; -0,98; 746942113
15,43; -9,41; -0,15; 746942142
15,43; -9,24; 0,40; 746942151
15,78; -8,46; 1,70; 746942181
15,93; -7,95; 2,16; 746942194
15,53; -6,90; 2,47; 746942214
15,27; -6,16; 2,10; 746942232
14,77; -5,22; 1,21; 746942255
14,48; -4,73; 0,94; 746942274
13,63; -3,75; 1,09; 746942299
13,43; -3,44; 1,13; 746942311
12,32; -2,46; 1,35; 746942340
11,84; -2,02; 1,66; 746942353
11,58; -1,29; 2,07; 746942381
11,66; -1,10; 1,98; 746942391
12,28; -0,93; 1,56; 746942413
12,96; -1,13; 1,01; 746942433
13,42; -1,43; 0,61; 746942457
13,79; -2,01; 0,48; 746942473
14,76; -3,31; 0,91; 746942499
14,94; -3,93; 1,16; 746942512
15,19; -5,12; 1,51; 746942540
15,32; -5,64; 1,29; 746942552
15,55; -7,00; 0,23; 746942583
15,68; -7,56; -0,08; 746942594
16,31; -8,99; -0,22; 746942615
16,62; -9,88; -0,20; 746942631
16,17; -10,46; -0,51; 746942655
15,77; -10,60; -0,59; 746942671
15,64; -10,80; -0,76; 746942700
15,69; -10,98; -1,10; 746942712
14,74; -10,83; -1,93; 746942739
14,10; -10,58; -1,92; 746942754
12,98; -10,08; -1,26; 746942780
12,52; -9,90; -1,28; 746942796
10,64; -9,40; -1,72; 746942815
8,72; -9,04; -1,95; 746942832
6,21; -8,19; -1,83; 746942856
5,16; -7,46; -1,55; 746942872
4,15; -6,42; -1,21; 746942899
3,86; -5,98; -1,20; 746942911
3,55; -5,14; -1,51; 746942942
3,59; -4,99; -1,64; 746942954
3,26; -4,28; -1,59; 746942981
3,07; -4,04; -1,45; 746942994
2,94; -3,71; -0,88; 746943014
3,46; -3,72; -0,53; 746943032
4,26; -3,64; -0,74; 746943056
4,07; -3,46; -1,35; 746943072
3,71; -3,55; -1,93; 746943099
3,78; -3,58; -1,82; 746943112
4,72; -3,91; -1,33; 746943142
5,01; -4,10; -1,23; 746943157
5,50; -4,91; -0,99; 746943180
5,96; -5,61; -0,93; 746943191
6,67; -6,43; -0,53; 746943217
7,08; -6,28; -0,09; 746943233
7,92; -6,19; 0,11; 746943256
7,85; -5,87; 0,45; 746943273
9,23; -6,75; 1,51; 746943300
11,31; -8,04; 1,22; 746943314
14,71; -8,94; -0,84; 746943343
15,27; -9,43; -1,72; 746943354
14,26; -9,57; -1,79; 746943382
14,28; -9,58; -1,02; 746943396
15,49; -9,76; 0,08; 746943414
16,36; -9,64; 0,16; 746943432
16,63; -9,23; -0,99; 746943456
15,56; -8,75; -1,50; 746943472
14,64; -8,17; -0,15; 746943500
14,56; -7,86; 0,74; 746943512
14,45; -6,85; 1,68; 746943543
14,16; -6,37; 1,52; 746943555
12,90; -5,24; 0,68; 746943581
12,53; -4,84; 0,59; 746943592
12,55; -4,27; 0,68; 746943614
12,78; -3,75; 0,86; 746943632
12,49; -2,96; 0,71; 746943655
12,28; -2,42; 0,88; 746943672
12,04; -1,64; 1,42; 746943699
12,09; -1,41; 1,73; 746943713
12,22; -1,17; 1,96; 746943741
12,26; -1,25; 2,00; 746943757
12,24; -2,01; 1,90; 746943781
12,24; -2,30; 1,92; 746943792
12,42; -2,97; 1,88; 746943814
13,01; -3,60; 1,61; 746943833
13,98; -4,57; 0,76; 746943856
14,24; -5,28; -0,01; 746943871
14,10; -5,71; -0,05; 746943901
14,38; -6,11; 0,08; 746943914
15,42; -8,13; 0,03; 746943941
15,90; -9,08; -0,17; 746943954
15,67; -10,22; -0,77; 746943981
15,18; -10,17; -0,71; 746943992
14,92; -9,96; -0,37; 746944017
15,33; -9,92; -0,83; 746944032
14,75; -9,89; -1,90; 746944056
14,20; -9,91; -2,14; 746944072
13,28; -9,64; -2,13; 746944099
12,83; -9,40; -1,93; 746944112
12,10; -8,99; -2,04; 746944143
11,61; -8,82; -2,04; 746944152
9,86; -8,58; -1,80; 746944180
8,69; -8,31; -1,69; 746944192
6,65; -7,78; -1,44; 746944214
5,42; -7,23; -1,36; 746944235
4,52; -6,45; -1,54; 746944257
4,18; -5,94; -1,67; 746944271
3,54; -5,31; -2,06; 746944298
3,30; -5,10; -2,24; 746944311
3,05; -4,88; -2,00; 746944339
2,96; -4,82; -1,70; 746944352
2,85; -4,85; -0,96; 746944383
2,81; -4,93; -0,82; 746944391
2,76; -4,94; -0,94; 746944413
2,83; -5,03; -1,62; 746944434
3,16; -5,35; -2,39; 746944455
3,68; -5,74; -2,23; 746944471
4,27; -5,69; -0,57; 746944501
5,01; -6,26; 0,11; 746944515
7,40; -7,38; 0,67; 746944540
8,84; -7,77; 0,22; 746944551
9,47; -7,67; -1,38; 746944581
8,66; -7,00; -1,31; 746944592
9,28; -7,56; -0,92; 746944615
10,88; -7,74; -1,28; 746944631
13,68; -8,33; -2,37; 746944668
14,32; -8,91; -2,64; 746944671
14,31; -9,64; -1,24; 746944699
14,86; -10,16; -0,31; 746944711
16,61; -10,50; 0,67; 746944742
16,70; -10,30; 0,53; 746944751
16,15; -9,50; 0,52; 746944780
15,97; -9,13; 0,78; 746944791
15,51; -8,16; 1,54; 746944814
15,10; -7,38; 2,14; 746944831
14,30; -6,13; 2,63; 746944858
13,84; -5,43; 2,43; 746944874
13,06; -4,06; 2,01; 746944898
12,69; -3,48; 1,90; 746944912
12,45; -2,66; 1,73; 746944940
12,36; -2,30; 1,60; 746944952
12,33; -1,61; 1,49; 746944983
12,40; -1,31; 1,43; 746944991
12,57; -0,92; 1,21; 746945014
12,68; -0,77; 1,08; 746945032
12,67; -0,92; 1,08; 746945057
12,64; -1,28; 1,22; 746945072
12,66; -2,43; 1,47; 746945099
12,41; -2,98; 1,65; 746945112
12,29; -4,15; 1,92; 746945139
12,53; -4,70; 2,00; 746945152
13,76; -5,85; 1,49; 746945181
14,27; -6,31; 1,11; 746945192
14,92; -7,03; 0,47; 746945214
15,46; -7,97; 0,32; 746945231
16,26; -9,15; 0,61; 746945256
16,75; -9,76; 0,45; 746945272
16,83; -10,25; -0,28; 746945298
16,70; -10,56; -0,59; 746945311
16,38; -11,06; -0,97; 746945339
16,13; -11,20; -1,20; 746945352
15,11; -10,96; -1,29; 746945380
14,47; -10,58; -1,35; 746945392
13,20; -9,68; -1,09; 746945416
12,48; -9,20; -0,91; 746945431
11,59; -8,82; -1,05; 746945456
11,21; -8,71; -1,35; 746945471
9,92; -8,44; -1,70; 746945498
8,55; -8,24; -1,73; 746945511
5,66; -7,59; -1,63; 746945541
4,94; -7,18; -1,59; 746945553
3,86; -5,97; -1,21; 746945581
