x;y;z;time
9,89; -0,87; 0,46; 747335726
9,83; -0,82; 0,45; 747335739
9,72; -0,85; 0,58; 747335767
9,75; -0,85; 0,56; 747335780
9,92; -0,87; 0,52; 747335801
9,97; -0,86; 0,40; 747335818
9,85; -0,93; 0,26; 747335843
9,68; -1,00; 0,20; 747335858
9,42; -1,25; 0,04; 747335885
9,19; -1,27; -0,00; 747335898
8,21; -1,31; -0,11; 747335926
7,67; -1,29; -0,16; 747335939
7,92; -2,01; -0,12; 747335967
8,58; -1,96; 0,29; 747335980
8,74; -1,42; 0,89; 747336002
8,88; -1,41; 0,28; 747336018
11,29; -0,52; -0,09; 747336043
12,70; 0,02; -0,62; 747336058
12,30; 1,15; -0,69; 747336085
12,51; 1,28; -0,05; 747336098
12,55; 0,93; 0,43; 747336129
12,45; 0,80; 0,85; 747336139
12,60; 0,51; 1,80; 747336167
12,93; 0,27; 1,72; 747336180
13,74; -0,03; 1,14; 747336200
13,70; 0,10; 0,59; 747336217
12,88; 0,40; 0,13; 747336242
12,65; 0,67; 0,15; 747336258
12,64; 0,46; -0,02; 747336286
12,56; 0,54; -0,57; 747336298
12,92; -0,69; -1,82; 747336327
13,16; 0,37; -2,01; 747336339
14,05; -0,24; -1,63; 747336367
14,20; -0,43; -1,63; 747336380
14,02; -0,36; -1,76; 747336400
13,25; -0,53; -1,70; 747336418
12,24; -0,68; -0,92; 747336442
11,39; -0,71; -0,68; 747336458
9,57; -0,54; -0,31; 747336485
9,35; -0,76; -0,03; 747336498
7,59; -1,48; 0,15; 747336529
7,18; -1,92; -0,08; 747336539
7,43; -3,57; -1,53; 747336567
7,18; -4,20; -1,89; 747336581
6,27; -4,65; -1,67; 747336601
6,07; -5,09; -0,86; 747336618
7,06; -5,78; 0,28; 747336645
7,03; -5,41; 0,52; 747336658
6,57; -3,72; -0,45; 747336685
5,77; -3,26; -1,00; 747336698
4,28; -3,21; -1,71; 747336726
3,86; -3,56; -1,74; 747336739
4,02; -4,40; -1,13; 747336768
4,38; -4,81; -0,93; 747336781
4,95; -5,52; -0,81; 747336801
4,94; -5,73; -0,62; 747336819
5,70; -6,11; -0,68; 747336844
6,99; -6,60; -1,07; 747336859
9,34; -7,58; -1,68; 747336887
10,25; -7,91; -1,83; 747336898
11,51; -8,23; -1,07; 747336928
12,06; -8,23; -0,14; 747336938
14,34; -8,22; 0,27; 747336970
