x;y;z;time
-1,49; 3,36; 9,52; 2716421255
-1,10; 2,94; 10,40; 2716421275
-0,97; 2,88; 9,96; 2716421293
-0,70; 3,14; 8,60; 2716421312
-1,62; 3,15; 6,25; 2716421332
-2,17; 3,08; 6,23; 2716421352
-2,03; 2,65; 8,92; 2716421370
-1,60; 1,53; 11,05; 2716421389
-0,59; 0,86; 8,43; 2716421411
1,11; 0,58; 7,94; 2716421429
1,48; 2,33; 7,05; 2716421447
0,26; 3,08; 6,87; 2716421468
-3,10; 2,85; 8,31; 2716421485
-1,54; 1,62; 9,34; 2716421506
1,41; 0,65; 8,09; 2716421527
0,92; -0,11; 10,22; 2716421544
1,66; 0,56; 9,24; 2716421564
3,42; 1,94; 9,46; 2716421584
3,36; 1,37; 8,01; 2716421602
3,49; 1,03; 6,85; 2716421628
2,94; 0,48; 6,85; 2716421644
2,40; -0,20; 7,97; 2716421661
5,57; 0,75; 10,54; 2716421680
5,37; 0,25; 10,09; 2716421699
4,89; -0,65; 7,58; 2716421719
5,08; -1,28; 6,94; 2716421738
6,52; -1,33; 7,94; 2716421759
6,73; -1,77; 8,80; 2716421777
6,39; -2,72; 9,64; 2716421796
6,60; -3,19; 10,24; 2716421816
7,46; -3,02; 9,11; 2716421836
7,16; -2,85; 7,04; 2716421857
8,01; -2,30; 7,18; 2716421879
7,69; -3,31; 8,19; 2716421895
6,62; -4,74; 7,87; 2716421913
7,94; -4,31; 8,49; 2716421933
7,80; -3,94; 9,02; 2716421953
6,85; -4,57; 8,45; 2716421972
6,98; -4,20; 7,06; 2716421991
6,74; -3,39; 5,54; 2716422010
6,16; -3,46; 4,09; 2716422030
5,74; -3,60; 4,28; 2716422049
5,14; -4,28; 5,34; 2716422069
4,76; -5,10; 6,78; 2716422089
4,60; -5,23; 7,71; 2716422112
5,52; -4,80; 7,47; 2716422129
6,18; -4,38; 6,35; 2716422146
6,22; -4,77; 5,96; 2716422165
6,36; -4,69; 5,86; 2716422185
6,79; -4,21; 6,82; 2716422205
5,62; -5,19; 5,43; 2716422229
5,64; -5,20; 4,11; 2716422247
7,50; -4,78; 5,16; 2716422262
8,05; -4,68; 5,78; 2716422281
6,66; -5,49; 5,25; 2716450186
5,37; -5,86; 4,02; 2716450199
5,34; -6,12; 3,55; 2716450216
6,60; -6,01; 3,79; 2716450236
7,20; -5,74; 3,68; 2716450256
6,59; -5,81; 4,45; 2716450276
6,11; -5,79; 5,98; 2716450300
6,33; -5,99; 5,77; 2716450314
7,36; -6,04; 3,88; 2716450334
7,52; -6,01; 2,74; 2716450354
7,26; -6,23; 2,27; 2716450372
6,97; -5,69; 3,70; 2716450391
6,74; -5,90; 4,48; 2716450416
6,03; -6,82; 3,61; 2716450432
6,99; -6,43; 2,28; 2716450451
8,44; -6,56; 3,25; 2716450468
8,22; -6,62; 4,29; 2716450488
8,11; -5,65; 2,95; 2716450509
7,61; -5,31; 3,31; 2716450532
6,52; -4,82; 6,05; 2716450549
6,20; -4,83; 2,00; 2716450566
7,01; -5,41; -4,21; 2716450588
4,40; -5,91; 0,37; 2716450606
5,41; -5,57; 3,07; 2716450625
7,74; -6,61; 1,88; 2716450649
10,22; -8,41; 0,59; 2716450664
11,64; -8,13; 2,12; 2716450682
11,60; -5,48; 2,04; 2716450704
9,88; -4,39; 0,74; 2716450721
8,80; -4,03; 0,22; 2716450741
7,90; -4,13; 0,69; 2716450760
9,29; -4,39; 0,39; 2716450782
8,94; -4,39; 0,06; 2716450798
9,03; -4,47; 0,49; 2716450820
9,04; -4,45; 0,28; 2716450837
8,90; -4,32; 0,30; 2716450857
8,55; -4,35; 0,18; 2716450884
8,78; -4,29; 0,22; 2716450900
8,63; -4,40; 0,49; 2716450915
8,79; -4,31; 0,39; 2716450934
8,89; -3,71; 0,46; 2716450954
8,92; -3,84; 0,65; 2716450973
8,52; -3,96; 0,34; 2716450996
8,56; -3,98; -0,11; 2716451012
8,19; -3,90; 0,80; 2716451031
9,07; -4,45; -0,32; 2716451051
8,62; -4,63; 0,53; 2716451070
8,91; -4,19; 0,68; 2716451090
8,51; -4,33; -0,26; 2716451113
8,76; -4,01; -0,74; 2716451131
7,87; -5,10; 0,38; 2716451146
7,73; -4,26; -0,40; 2716451166
6,12; -4,42; -0,86; 2716451186
6,16; -5,32; -1,30; 2716604937
10,13; -4,25; -1,26; 2716604957
12,58; -4,27; -0,09; 2716604976
11,32; -6,29; -1,08; 2716604997
9,24; -5,26; -2,14; 2716605015
8,51; -4,86; -0,44; 2716605035
8,12; -4,34; -1,06; 2716605053
7,53; -3,44; -3,43; 2716605073
8,07; -3,50; 0,52; 2716605093
9,24; -5,07; -1,45; 2716605116
9,13; -4,25; -1,99; 2716605130
8,20; -3,99; -1,56; 2716605151
8,78; -3,74; -1,43; 2716605170
8,53; -5,59; -0,76; 2716605190
8,16; -5,71; -0,72; 2716605213
10,09; -3,70; -2,13; 2716605230
9,45; -3,29; -1,61; 2716605247
9,12; -2,07; -1,43; 2716605267
8,53; -3,48; -1,45; 2716605287
9,13; -5,06; -1,78; 2716605306
10,80; -4,27; -1,84; 2716605326
8,66; -2,62; -1,71; 2716605346
9,05; -2,95; -2,25; 2716605364
9,19; -3,44; -1,78; 2716605383
9,16; -2,91; -2,08; 2716605403
9,04; -2,65; -1,95; 2716605422
9,41; -2,86; -4,38; 2716605442
9,25; -3,08; -3,71; 2716605463
8,61; -2,70; -2,25; 2716605480
8,32; -2,72; -2,26; 2716605500
7,94; -2,44; -1,53; 2716605519
8,47; -2,67; -2,73; 2716605539
10,06; -3,54; -3,80; 2716605558
9,49; -3,19; -2,15; 2716605580
8,36; -2,46; -0,99; 2716605597
8,53; -3,05; -2,00; 2716605616
9,75; -3,24; -2,38; 2716605636
10,21; -2,57; -2,66; 2716605656
9,23; -2,74; -1,13; 2716605675
9,28; -2,35; -2,03; 2716605698
9,69; -2,63; -1,67; 2716605712
9,10; -2,73; -0,74; 2716605732
9,96; -2,40; -2,10; 2716605752
9,88; -1,86; -1,25; 2716605771
8,95; -1,05; -0,49; 2716605792
8,75; -1,73; -0,17; 2716605815
9,99; -1,59; -1,37; 2716605832
9,92; -1,25; -1,47; 2716605849
9,35; -1,58; -1,18; 2716605870
9,68; -1,63; -1,39; 2716605889
10,21; -1,65; -1,44; 2716605908
9,29; -1,81; -0,72; 2716605926
10,75; -0,74; -1,35; 2716605950
10,33; -0,98; -1,41; 2716605968
9,34; -1,14; -0,34; 2716605987
9,13; -0,98; -1,18; 2716606005
9,57; -0,76; -1,18; 2716606024
9,87; -0,61; -1,01; 2716606044
10,10; -0,83; -1,02; 2716606065
9,97; -0,66; -0,91; 2716606082
10,28; -0,83; -1,61; 2716606101
10,79; -1,15; -1,45; 2716606122
10,06; -1,61; -0,72; 2716606141
9,26; -1,15; -1,01; 2716606161
9,30; -0,63; -1,16; 2716606184
9,45; -0,69; -1,49; 2716606199
9,34; -0,97; -2,36; 2716606218
9,39; -1,11; -1,50; 2716606239
9,08; -1,12; -0,88; 2716606259
9,16; -0,92; -1,39; 2716606277
9,39; -0,80; -2,02; 2716606295
9,73; -0,79; -2,15; 2716606315
9,30; -0,79; -1,30; 2716606334
9,56; -0,76; -1,61; 2716606354
9,51; -0,75; -1,54; 2716606373
9,85; -0,94; -1,29; 2716606393
10,41; -1,05; -2,43; 2716606417
9,62; -1,12; -1,41; 2716606431
10,08; -0,84; -2,25; 2716606450
9,48; -0,75; -2,32; 2716606471
9,47; -0,85; -2,86; 2716606490
9,01; -0,85; -3,29; 2716606510
8,95; -0,87; -3,65; 2716606533
9,10; -0,89; -3,70; 2716606550
9,46; -0,86; -3,16; 2716606567
9,35; -0,89; -3,07; 2716606586
9,23; -0,89; -3,44; 2716606608
9,13; -0,84; -3,51; 2716606625
9,16; -0,82; -3,33; 2716606645
9,22; -0,84; -3,34; 2716606668
9,23; -0,83; -3,41; 2716606685
9,23; -0,83; -3,43; 2716606704
9,22; -0,85; -3,40; 2716606723
9,20; -0,88; -3,39; 2716606743
9,22; -0,87; -3,43; 2716606767
9,22; -0,85; -3,40; 2716606784
9,21; -0,86; -3,40; 2716606801
9,22; -0,88; -3,40; 2716606819
9,23; -0,89; -3,41; 2716606839
9,24; -0,88; -3,40; 2716606860
9,25; -0,88; -3,40; 2716606878
9,24; -0,87; -3,41; 2716606899
9,20; -0,86; -3,41; 2716606918
9,18; -0,87; -3,39; 2716606935
9,18; -0,88; -3,40; 2716606955
9,21; -0,90; -3,42; 2716606974
9,23; -0,88; -3,40; 2716606993
9,24; -0,87; -3,40; 2716607015
9,22; -0,89; -3,39; 2716607032
