x;y;z;time
-1,27; 2,92; 9,40; 2716421255
-1,57; 2,71; 9,04; 2716421275
-1,35; 2,55; 9,39; 2716421293
-0,85; 2,76; 10,30; 2716421312
-0,53; 2,76; 10,35; 2716421332
-0,04; 2,80; 10,00; 2716421352
0,17; 2,81; 9,63; 2716421370
-0,12; 2,63; 9,45; 2716421389
-0,80; 2,34; 8,03; 2716421411
-0,86; 2,18; 6,48; 2716421429
-0,31; 2,17; 6,68; 2716421447
0,36; 2,09; 7,99; 2716421468
0,44; 1,90; 10,11; 2716421485
0,22; 1,45; 10,92; 2716421506
0,22; 0,94; 9,84; 2716421527
0,44; 1,02; 9,49; 2716421544
0,79; 1,08; 9,87; 2716421564
0,65; 1,11; 9,10; 2716421584
1,23; 1,08; 9,00; 2716421602
1,64; 0,87; 9,31; 2716421628
1,41; 0,18; 9,86; 2716421644
0,98; -0,87; 9,49; 2716421661
1,91; -0,77; 9,76; 2716421680
2,40; -0,11; 9,62; 2716421699
2,81; 0,01; 9,51; 2716421719
1,83; -0,75; 9,45; 2716421738
0,98; -1,99; 9,17; 2716421759
0,09; -3,21; 8,36; 2716421777
0,88; -2,72; 7,33; 2716421796
3,02; -1,80; 6,35; 2716421816
3,63; -1,64; 6,18; 2716421836
4,51; -2,03; 6,79; 2716421857
6,08; -1,23; 8,86; 2716421879
5,79; -0,91; 9,89; 2716421895
7,27; -1,78; 9,28; 2716421913
8,76; -2,24; 8,68; 2716421933
7,65; -2,92; 9,36; 2716421953
5,95; -4,24; 9,26; 2716421972
4,86; -5,31; 7,86; 2716421991
5,22; -5,29; 8,12; 2716422010
6,00; -4,94; 8,85; 2716422030
8,05; -4,25; 7,41; 2716422049
9,29; -4,14; 7,83; 2716422069
7,25; -5,02; 7,72; 2716422089
4,90; -6,57; 6,15; 2716422112
3,66; -7,25; 5,15; 2716422129
3,26; -7,58; 6,66; 2716422146
3,33; -7,30; 5,46; 2716422165
3,42; -6,48; 4,25; 2716422185
4,54; -5,61; 4,74; 2716422205
5,60; -5,32; 5,15; 2716422229
6,11; -5,76; 5,43; 2716422247
7,12; -6,53; 4,08; 2716422262
6,95; -7,37; 3,17; 2716422281
7,16; -7,32; 3,16; 2716450186
6,68; -6,94; 1,96; 2716450199
7,21; -5,85; 2,68; 2716450216
7,15; -6,11; 3,51; 2716450236
7,43; -6,70; 2,28; 2716450256
6,92; -7,43; 1,86; 2716450276
5,85; -8,18; 2,60; 2716450300
6,41; -7,62; 2,91; 2716450314
7,92; -6,55; 2,25; 2716450334
6,78; -7,68; 0,54; 2716450354
7,81; -6,45; 1,25; 2716450372
7,34; -6,25; 2,27; 2716450391
7,45; -6,62; 1,78; 2716450416
6,28; -8,73; 2,08; 2716450432
6,63; -8,05; 1,56; 2716450451
6,92; -7,53; 1,18; 2716450468
7,48; -6,22; 0,84; 2716450488
8,07; -6,41; 1,06; 2716450509
7,41; -7,68; 1,38; 2716450532
8,00; -7,34; 1,28; 2716450549
8,41; -5,57; 0,91; 2716450566
9,93; -3,43; 0,26; 2716450588
8,61; -4,45; 0,83; 2716450606
8,65; -5,44; 0,59; 2716450625
7,76; -6,00; 0,60; 2716450649
7,21; -6,26; 1,12; 2716450664
6,98; -6,19; 0,76; 2716450682
7,63; -5,61; 0,21; 2716450704
8,06; -4,33; 0,88; 2716450721
8,40; -4,29; 0,22; 2716450741
8,90; -3,52; 0,10; 2716450760
8,53; -4,21; -0,10; 2716450782
6,92; -5,18; 0,57; 2716450798
12,21; -0,41; -2,01; 2716450820
5,12; -8,85; -0,50; 2716450837
8,75; -5,56; -0,77; 2716450857
11,94; -1,87; -2,56; 2716450884
9,77; -5,97; 0,30; 2716450900
7,66; -6,60; 0,61; 2716450915
9,92; -3,19; -2,30; 2716450934
9,21; -2,34; -2,08; 2716450954
11,07; -1,84; -2,23; 2716450973
10,39; -1,47; -1,38; 2716450996
9,89; -1,11; -1,60; 2716451012
9,34; -0,67; -1,95; 2716451031
10,01; -1,59; -3,25; 2716451051
9,64; 0,05; -3,20; 2716451070
8,56; -0,43; -2,49; 2716451090
8,35; -0,04; -1,20; 2716451113
9,05; -0,95; -4,16; 2716451131
9,03; -0,81; -4,68; 2716451146
8,91; -0,56; -3,65; 2716451166
8,57; -0,22; -2,63; 2716451186
9,03; -0,47; -3,32; 2716604937
9,98; -0,75; -4,77; 2716604957
9,18; -0,62; -3,83; 2716604976
9,05; -0,57; -3,61; 2716604997
9,32; -0,68; -4,77; 2716605015
9,07; -0,54; -3,86; 2716605035
8,93; -0,66; -3,66; 2716605053
8,74; -0,64; -3,38; 2716605073
8,81; -0,53; -3,50; 2716605093
8,96; -0,52; -3,79; 2716605116
8,95; -0,55; -3,76; 2716605130
8,80; -0,58; -3,75; 2716605151
9,00; -0,66; -4,03; 2716605170
8,95; -0,49; -3,80; 2716605190
8,05; -0,55; -3,96; 2716605213
9,86; -0,32; -4,00; 2716605230
9,28; -0,52; -3,92; 2716605247
9,01; -0,55; -3,79; 2716605267
9,46; -0,62; -3,82; 2716605287
9,65; -0,73; -4,04; 2716605306
9,81; -0,74; -3,80; 2716605326
9,44; -0,53; -4,24; 2716605346
9,28; -0,74; -5,26; 2716605364
8,44; -0,54; -3,15; 2716605383
6,95; -0,37; -1,46; 2716605403
9,45; -0,75; -4,64; 2716605422
9,96; -0,80; -4,32; 2716605442
9,45; -0,69; -3,47; 2716605463
9,17; -0,70; -3,65; 2716605480
8,94; -0,66; -3,62; 2716605500
8,90; -0,64; -3,53; 2716605519
9,09; -0,68; -3,65; 2716605539
9,22; -0,70; -3,66; 2716605558
9,25; -0,68; -3,67; 2716605580
9,17; -0,69; -3,66; 2716605597
9,07; -0,71; -3,65; 2716605616
9,05; -0,72; -3,65; 2716605636
9,12; -0,73; -3,63; 2716605656
9,18; -0,73; -3,66; 2716605675
9,18; -0,71; -3,69; 2716605698
9,14; -0,71; -3,67; 2716605712
9,11; -0,71; -3,65; 2716605732
9,10; -0,72; -3,67; 2716605752
9,13; -0,69; -3,65; 2716605771
9,12; -0,69; -3,63; 2716605792
9,11; -0,68; -3,65; 2716605815
9,13; -0,69; -3,66; 2716605832
9,13; -0,69; -3,66; 2716605849
9,12; -0,69; -3,67; 2716605870
9,13; -0,74; -3,69; 2716605889
9,13; -0,74; -3,66; 2716605908
9,13; -0,73; -3,66; 2716605926
9,13; -0,72; -3,66; 2716605950
9,16; -0,69; -3,65; 2716605968
9,17; -0,67; -3,65; 2716605987
9,16; -0,69; -3,63; 2716606005
9,14; -0,68; -3,65; 2716606024
9,13; -0,65; -3,60; 2716606044
9,14; -0,63; -3,61; 2716606065
9,14; -0,63; -3,60; 2716606082
9,14; -0,65; -3,64; 2716606101
9,15; -0,66; -3,65; 2716606122
9,14; -0,67; -3,64; 2716606141
9,17; -0,67; -3,66; 2716606161
9,18; -0,70; -3,60; 2716606184
9,15; -0,69; -3,60; 2716606199
9,14; -0,70; -3,60; 2716606218
9,16; -0,72; -3,61; 2716606239
9,15; -0,72; -3,64; 2716606259
9,13; -0,71; -3,64; 2716606277
9,08; -0,70; -3,66; 2716606295
9,07; -0,70; -3,67; 2716606315
9,07; -0,70; -3,65; 2716606334
9,07; -0,69; -3,64; 2716606354
9,11; -0,68; -3,66; 2716606373
9,13; -0,71; -3,68; 2716606393
9,14; -0,73; -3,70; 2716606417
9,18; -0,72; -3,68; 2716606431
9,16; -0,70; -3,64; 2716606450
9,16; -0,68; -3,61; 2716606471
9,19; -0,59; -3,66; 2716606490
9,30; -0,55; -3,83; 2716606510
9,38; -0,55; -4,00; 2716606533
9,26; -0,64; -3,90; 2716606550
9,02; -0,71; -3,74; 2716606567
8,66; -0,77; -3,21; 2716606586
8,51; -0,67; -2,68; 2716606608
8,75; -0,39; -2,73; 2716606625
9,28; -0,23; -3,06; 2716606645
9,86; -0,37; -3,49; 2716606668
9,97; -0,50; -3,65; 2716606685
9,66; -0,48; -3,61; 2716606704
9,24; -0,43; -3,34; 2716606723
8,89; -0,36; -2,98; 2716606743
8,75; -0,27; -2,91; 2716606767
8,88; -0,17; -3,23; 2716606784
9,13; -0,14; -3,48; 2716606801
9,28; -0,12; -3,52; 2716606819
9,23; -0,21; -3,27; 2716606839
9,20; -0,42; -3,06; 2716606860
9,50; -0,70; -2,91; 2716606878
9,78; -1,04; -2,45; 2716606899
10,02; -1,05; -2,08; 2716606918
9,97; -1,27; -1,83; 2716606935
9,75; -1,79; -1,59; 2716606955
9,66; -2,09; -1,58; 2716606974
9,61; -1,70; -1,74; 2716606993
9,71; -0,87; -1,81; 2716607015
9,76; -0,43; -1,67; 2716607032
9,70; -0,32; -1,58; 2716607051
9,65; -0,37; -1,58; 2716607072
9,59; -0,46; -1,51; 2716607092
9,41; -0,54; -1,49; 2716607111
9,36; -0,60; -1,51; 2716607133
9,50; -0,67; -1,54; 2716607149
9,67; -0,72; -1,57; 2716607168
