x;y;z;time
6,77; -4,21; 5,54; 745403001
6,88; -4,28; 5,56; 745403031
6,89; -4,20; 5,59; 745403041
7,03; -4,09; 5,63; 745403063
7,08; -4,04; 5,47; 745403080
7,08; -3,94; 5,38; 745403106
7,09; -3,87; 5,39; 745403121
7,21; -3,87; 5,34; 745403148
7,24; -3,87; 5,41; 745403161
7,22; -3,81; 5,88; 745403189
7,21; -3,75; 6,08; 745403201
7,09; -3,57; 6,11; 745403231
7,11; -3,40; 6,17; 745403241
7,48; -3,29; 6,48; 745403264
7,66; -3,12; 6,59; 745403281
7,88; -2,95; 6,69; 745403305
8,06; -2,82; 6,70; 745403320
8,26; -2,60; 6,36; 745403350
8,34; -2,56; 6,20; 745403363
8,71; -2,45; 5,86; 745403388
8,77; -2,40; 5,91; 745403402
8,80; -2,19; 6,03; 745403431
8,77; -2,05; 6,02; 745403441
8,63; -1,93; 5,84; 745403464
8,45; -1,75; 5,72; 745403482
8,58; -1,40; 5,50; 745403504
8,93; -1,32; 5,27; 745403521
9,57; -1,42; 4,73; 745403548
9,71; -1,36; 4,57; 745403563
9,49; -1,51; 3,98; 745403590
9,27; -1,62; 3,70; 745403606
8,65; -1,75; 3,49; 745403631
8,32; -1,23; 3,73; 745403641
8,42; -0,75; 4,19; 745403665
8,80; -0,67; 4,26; 745403681
8,38; -0,38; 3,57; 745403705
7,77; -0,19; 3,28; 745403721
7,76; -0,34; 3,25; 745403749
8,05; -0,34; 3,39; 745403761
8,78; -0,20; 3,34; 745403789
8,68; -0,20; 2,99; 745403801
8,56; 0,14; 2,69; 745403833
8,79; -0,23; 2,56; 745403841
8,84; -0,73; 2,44; 745403864
8,63; -1,01; 2,50; 745403883
8,56; -1,29; 2,44; 745403904
8,27; -1,48; 2,10; 745403921
8,04; -2,47; 1,59; 745403948
8,47; -3,24; 1,67; 745403962
9,29; -3,40; 3,13; 745403989
9,47; -3,54; 3,10; 745404002
8,80; -3,22; 2,07; 745404032
8,58; -3,14; 1,84; 745404043
8,11; -3,26; 1,74; 745404065
8,16; -3,62; 2,52; 745404081
9,51; -4,02; 3,76; 745404105
10,15; -3,85; 3,65; 745404122
9,49; -3,39; 2,71; 745404150
9,15; -3,27; 2,47; 745404162
9,24; -3,31; 2,99; 745404191
9,30; -3,36; 3,14; 745404205
9,37; -3,37; 2,82; 745404232
9,47; -3,45; 2,43; 745404242
9,76; -3,70; 1,99; 745404266
10,02; -3,92; 2,07; 745404282
9,69; -3,94; 2,39; 745404306
9,12; -3,80; 2,46; 745404321
8,96; -4,06; 2,65; 745404348
9,18; -4,31; 2,79; 745404361
8,93; -4,43; 2,67; 745404390
8,69; -4,41; 2,61; 745404400
8,54; -4,61; 2,91; 745404432
8,63; -4,64; 2,94; 745404441
9,06; -4,53; 2,82; 745404465
9,41; -4,40; 2,46; 745404482
9,24; -4,08; 2,16; 745404506
8,88; -3,91; 2,25; 745404521
9,29; -3,94; 2,97; 745404548
9,82; -4,07; 3,19; 745404561
10,84; -3,97; 3,27; 745404592
10,90; -3,90; 3,16; 745404605
11,46; -4,46; 3,04; 745404632
12,05; -4,95; 3,10; 745404642
12,25; -4,64; 2,78; 745404663
11,32; -4,59; 1,89; 745404681
9,79; -4,38; 1,79; 745404704
9,87; -4,19; 2,53; 745404721
10,18; -3,28; 3,54; 745404748
9,91; -2,59; 3,74; 745404760
9,37; -1,50; 3,38; 745404788
9,26; -1,34; 3,06; 745404800
9,35; -1,95; 2,37; 745404830
9,49; -2,17; 2,41; 745404840
9,84; -2,70; 2,48; 745404862
9,84; -2,79; 2,55; 745404880
9,76; -2,71; 2,54; 745404904
10,02; -2,81; 2,64; 745404920
10,42; -3,07; 2,83; 745404948
10,41; -3,18; 2,77; 745404960
10,25; -3,22; 2,53; 745404989
10,13; -3,16; 2,43; 745405001
9,88; -2,98; 2,24; 745405030
9,71; -2,92; 2,13; 745405042
9,38; -3,04; 1,74; 745405063
9,07; -3,15; 1,61; 745405082
8,94; -3,37; 1,34; 745405106
8,86; -3,50; 1,16; 745405121
8,87; -3,67; 0,78; 745405150
9,25; -3,83; 0,74; 745405163
9,98; -4,28; 0,81; 745405190
10,05; -4,39; 0,90; 745405202
9,99; -4,53; 0,83; 745405231
10,29; -5,17; 0,78; 745405241
10,59; -5,77; 1,38; 745405266
10,78; -5,33; 1,80; 745405282
10,66; -4,79; 1,40; 745405305
9,96; -4,10; 0,92; 745405322
8,79; -3,66; 0,47; 745405349
8,47; -3,69; 0,74; 745405365
7,90; -3,23; 1,39; 745405389
7,73; -3,10; 1,47; 745405400
7,81; -3,52; 1,19; 745405430
7,91; -3,85; 0,93; 745405443
7,91; -4,24; 0,51; 745405464
8,01; -4,57; 0,41; 745405482
7,88; -4,84; 0,71; 745405506
7,62; -5,04; 1,11; 745405522
7,45; -5,05; 1,93; 745405548
7,45; -4,97; 2,15; 745405563
7,54; -4,71; 1,86; 745405589
7,50; -4,47; 1,58; 745405601
7,41; -4,11; 1,19; 745405632
7,43; -4,02; 1,15; 745405642
7,67; -4,02; 1,09; 745405663
7,90; -3,96; 0,98; 745405681
8,30; -4,35; 0,46; 745405704
8,56; -4,81; 0,25; 745405720
9,11; -5,43; 0,77; 745405750
9,39; -5,65; 1,10; 745405761
10,19; -5,83; 2,07; 745405790
10,51; -5,75; 2,41; 745405804
10,92; -5,09; 2,58; 745405830
11,10; -4,79; 2,57; 745405840
12,34; -4,70; 2,42; 745405863
14,05; -5,91; 2,28; 745405880
15,13; -5,40; 3,11; 745405906
15,36; -4,54; 2,97; 745405921
14,21; -2,50; 1,83; 745405948
13,65; -1,89; 1,43; 745405961
12,94; -1,88; 2,23; 745405990
13,13; -1,88; 3,01; 745406002
12,60; -1,21; 2,78; 745406032
11,59; -0,83; 2,42; 745406042
10,28; -0,57; 1,82; 745406064
10,08; -1,08; 1,49; 745406082
10,42; -2,18; 1,35; 745406106
