x;y;z;time
7,94; -6,40; -2,84; 747200176
7,75; -6,35; -3,10; 747200190
7,09; -6,25; -3,01; 747200210
6,60; -5,92; -2,53; 747200227
5,61; -5,06; -1,64; 747200253
4,64; -4,30; -1,07; 747200268
3,10; -2,84; -0,21; 747200296
2,77; -2,27; -0,14; 747200307
2,72; -2,30; -1,04; 747200336
3,04; -2,83; -1,88; 747200348
3,37; -3,21; -2,97; 747200377
3,16; -3,28; -2,87; 747200392
2,95; -3,68; -1,56; 747200410
3,53; -4,30; -0,37; 747200428
4,19; -5,30; 0,06; 747200453
4,88; -5,84; -0,56; 747200467
6,12; -6,31; -1,87; 747200496
6,19; -6,24; -1,86; 747200507
6,63; -6,83; -0,38; 747200536
7,30; -6,87; 0,16; 747200550
10,42; -7,86; -0,32; 747200579
11,05; -8,22; -0,74; 747200590
11,48; -8,84; -1,44; 747200610
11,97; -9,40; -1,72; 747200628
13,78; -10,42; -1,54; 747200654
15,33; -10,95; -2,33; 747200668
16,43; -10,86; -3,68; 747200695
16,38; -10,83; -3,85; 747200707
16,85; -10,19; -2,29; 747200739
17,59; -9,75; -1,11; 747200750
19,98; -7,34; 1,39; 747200776
21,09; -5,95; 1,61; 747200791
21,66; -3,40; 1,33; 747200810
21,13; -1,85; 0,81; 747200828
19,93; -0,70; -0,21; 747200852
18,36; 0,04; -0,17; 747200867
15,55; 0,57; -0,29; 747200896
14,19; 0,61; -0,29; 747200907
12,31; 0,32; -0,40; 747200935
12,16; 0,08; -0,67; 747200949
13,19; -0,88; -1,72; 747200977
13,40; -1,14; -1,87; 747200993
13,77; -1,75; -1,70; 747201010
14,17; -2,28; -1,24; 747201029
14,53; -3,38; -0,73; 747201053
14,80; -3,96; -0,43; 747201067
15,53; -5,15; -0,96; 747201095
15,62; -5,69; -1,41; 747201111
15,19; -6,78; -1,92; 747201135
15,19; -7,27; -1,97; 747201148
15,04; -8,23; -2,09; 747201179
14,80; -8,32; -2,15; 747201192
14,42; -8,34; -2,25; 747201213
14,62; -8,43; -2,43; 747201228
14,64; -8,38; -2,65; 747201253
14,80; -8,70; -2,69; 747201272
15,11; -9,67; -2,76; 747201295
15,07; -10,12; -2,65; 747201309
13,95; -10,24; -1,80; 747201336
13,23; -10,07; -1,30; 747201350
11,27; -9,21; 0,03; 747201378
10,35; -8,94; 0,42; 747201388
7,07; -7,79; 0,69; 747201411
4,42; -6,67; 0,71; 747201429
1,20; -5,14; -0,18; 747201452
0,17; -4,71; -1,10; 747201467
0,29; -4,45; -2,29; 747201497
1,46; -4,51; -2,43; 747201508
3,10; -4,66; -2,00; 747201539
3,01; -4,90; -1,90; 747201550
2,47; -5,03; -1,81; 747201578
2,30; -5,20; -1,63; 747201588
2,12; -5,52; -1,19; 747201610
2,24; -5,65; -0,74; 747201628
2,92; -5,66; -0,31; 747201653
3,64; -5,92; -0,24; 747201668
5,64; -6,43; -0,74; 747201697
6,25; -6,64; -0,85; 747201709
6,76; -6,87; 0,28; 747201737
7,32; -7,53; 0,55; 747201750
10,08; -9,42; -0,46; 747201778
10,76; -10,03; -1,04; 747201788
12,14; -10,87; -1,91; 747201811
13,30; -11,11; -1,90; 747201828
15,87; -11,80; -2,75; 747201851
17,50; -11,97; -3,85; 747201867
17,69; -10,88; -4,39; 747201895
17,79; -10,27; -3,88; 747201909
19,41; -9,82; -1,75; 747201939
20,40; -9,35; -0,89; 747201951
21,56; -7,46; -0,01; 747201977
21,09; -6,08; -0,09; 747201987
19,18; -4,02; -1,17; 747202011
17,23; -3,02; -1,48; 747202028
14,54; -1,96; -0,68; 747202052
13,61; -1,24; -0,25; 747202073
13,55; -0,45; -0,90; 747202096
13,54; -0,15; -1,36; 747202107
13,99; 0,32; -2,10; 747202136
14,39; 0,37; -2,58; 747202152
14,85; 0,25; -3,35; 747202177
14,68; -0,18; -3,06; 747202188
13,96; -1,15; -1,79; 747202211
13,47; -2,06; -1,09; 747202227
12,87; -2,89; -0,19; 747202253
12,93; -3,26; 0,23; 747202268
13,66; -3,97; -0,26; 747202296
