x;y;z;time
9,29; 0,68; -3,11; 2716605950
9,30; 0,71; -3,14; 2716605968
9,30; 0,66; -3,10; 2716605987
9,30; 0,64; -3,02; 2716606005
9,32; 0,68; -3,02; 2716606024
9,37; 0,69; -3,04; 2716606044
9,42; 0,68; -3,08; 2716606065
9,42; 0,71; -3,04; 2716606082
9,36; 0,77; -2,92; 2716606101
9,37; 0,85; -2,88; 2716606122
9,43; 0,89; -2,96; 2716606141
9,37; 0,86; -2,92; 2716606161
9,24; 0,87; -2,74; 2716606184
9,20; 0,87; -2,68; 2716606199
9,30; 0,87; -2,83; 2716606218
9,36; 0,85; -2,83; 2716606239
9,33; 0,87; -2,82; 2716606259
9,37; 0,90; -2,83; 2716606277
9,37; 0,89; -2,79; 2716606295
9,28; 0,93; -2,93; 2716606315
9,24; 1,01; -3,27; 2716606334
9,01; 0,98; -3,26; 2716606354
8,70; 1,00; -2,90; 2716606373
8,87; 0,98; -2,78; 2716606393
9,24; 0,74; -2,74; 2716606417
9,57; 0,36; -2,35; 2716606431
9,98; -0,06; -1,91; 2716606450
10,41; -0,08; -1,65; 2716606471
10,53; 0,00; -1,70; 2716606490
10,20; 0,10; -1,61; 2716606510
9,94; 0,15; -1,47; 2716606533
10,10; 0,42; -1,62; 2716606550
10,11; 0,83; -1,70; 2716606567
9,98; 1,06; -1,80; 2716606586
9,69; 1,11; -1,69; 2716606608
9,55; 0,92; -1,75; 2716606625
9,56; 0,64; -1,90; 2716606645
9,62; 0,38; -2,00; 2716606668
9,75; 0,26; -2,03; 2716606685
9,81; 0,25; -1,97; 2716606704
9,71; 0,30; -1,93; 2716606723
9,53; 0,39; -1,86; 2716606743
9,39; 0,35; -1,75; 2716606767
9,39; 0,26; -1,64; 2716606784
9,58; 0,27; -1,59; 2716606801
9,88; 0,24; -1,69; 2716606819
10,00; 0,22; -1,84; 2716606839
9,87; 0,03; -1,85; 2716606860
9,67; -0,28; -1,80; 2716606878
9,43; -0,38; -1,70; 2716606899
9,06; -0,28; -1,43; 2716606918
8,83; -0,25; -1,27; 2716606935
9,06; -0,13; -1,71; 2716606955
9,76; 0,69; -2,33; 2716606974
10,26; 1,13; -2,84; 2716606993
10,33; 0,92; -3,34; 2716607015
10,64; 0,96; -3,48; 2716607032
10,80; 0,57; -3,45; 2716607051
10,25; -0,28; -3,39; 2716607072
9,24; -0,50; -3,42; 2716607092
8,21; -0,28; -3,33; 2716607111
7,59; 0,27; -3,09; 2716607133
7,41; 1,09; -3,03; 2716607149
7,63; 1,73; -3,18; 2716607168
8,21; 1,61; -3,14; 2716607189
8,87; 1,38; -3,19; 2716607209
10,16; 1,41; -2,77; 2716607228
11,56; 1,57; -3,40; 2716607251
12,48; 2,00; -3,55; 2716607267
11,87; 2,17; -3,24; 2716607284
10,52; 1,75; -2,90; 2716607307
9,42; 0,99; -2,56; 2716607326
8,84; 0,20; -2,49; 2716607345
8,56; -0,34; -2,55; 2716607363
8,46; -0,50; -2,36; 2716607385
8,59; -0,10; -2,36; 2716607403
8,84; 0,32; -2,39; 2716607423
9,04; 0,38; -2,05; 2716607439
9,44; 0,45; -1,60; 2716607461
9,85; 0,58; -1,49; 2716607484
10,06; 0,68; -1,23; 2716607501
9,73; 0,84; -1,10; 2716607518
9,09; 1,02; -1,02; 2716607539
