x;y;z;time
-1,55; 4,11; 8,95; 2716421255
-1,70; 4,03; 8,34; 2716421275
-1,91; 4,03; 8,15; 2716421293
-2,01; 3,83; 8,34; 2716421312
-2,36; 3,65; 7,61; 2716421332
-1,94; 3,64; 7,43; 2716421352
-0,52; 3,58; 10,42; 2716421370
-0,05; 3,20; 11,50; 2716421389
-0,28; 3,07; 11,18; 2716421411
-0,91; 3,00; 10,01; 2716421429
-1,56; 2,66; 8,11; 2716421447
-1,64; 2,66; 8,24; 2716421468
-0,73; 2,31; 8,63; 2716421485
-0,22; 1,83; 8,46; 2716421506
-0,83; 0,98; 8,48; 2716421527
-1,60; 0,40; 8,42; 2716421544
-1,58; 0,11; 8,69; 2716421564
-1,15; 0,10; 10,17; 2716421584
-0,72; 0,42; 11,60; 2716421602
0,93; 1,03; 12,37; 2716421628
1,54; 1,43; 12,89; 2716421644
0,81; 0,84; 12,15; 2716421661
-0,10; -0,13; 10,52; 2716421680
-0,15; -0,18; 9,04; 2716421699
-0,79; -0,38; 9,49; 2716421719
-0,15; -0,29; 10,82; 2716421738
0,81; 0,89; 11,19; 2716421759
0,09; 2,07; 5,69; 2716421777
-0,19; 2,18; 2,27; 2716421796
0,52; 1,79; 2,44; 2716421816
0,99; 1,50; 6,48; 2716421836
0,79; 0,90; 10,84; 2716421857
0,58; 0,03; 10,58; 2716421879
-0,03; -0,44; 8,58; 2716421895
1,59; 0,11; 9,20; 2716421913
4,14; 0,92; 10,56; 2716421933
5,22; 1,38; 10,61; 2716421953
5,05; 1,16; 11,51; 2716421972
4,50; 0,93; 11,53; 2716421991
3,95; 0,59; 10,28; 2716422010
3,40; -0,11; 9,59; 2716422030
1,42; -1,65; 10,69; 2716422049
0,67; -2,82; 9,84; 2716422069
2,66; -1,67; 8,22; 2716422089
4,40; -0,47; 9,25; 2716422112
4,15; -0,58; 10,16; 2716422129
2,81; -1,29; 9,37; 2716422146
2,78; -1,25; 8,22; 2716422165
3,20; -0,99; 9,13; 2716422185
2,88; -1,34; 7,58; 2716422205
2,36; -1,64; 6,41; 2716422229
2,25; -2,18; 5,57; 2716422247
3,63; -2,17; 8,20; 2716422262
4,17; -2,35; 10,74; 2716422281
4,45; -2,20; 10,71; 2716450186
4,58; -3,02; 9,94; 2716450199
4,12; -3,51; 8,87; 2716450216
3,53; -4,07; 6,53; 2716450236
4,18; -4,73; 5,94; 2716450256
4,05; -4,25; 7,69; 2716450276
4,51; -4,41; 8,95; 2716450300
5,09; -4,40; 12,91; 2716450314
8,73; -3,30; 13,33; 2716450334
5,50; -3,59; 7,31; 2716450354
3,13; -6,00; 7,47; 2716450372
3,45; -6,25; 8,31; 2716450391
5,07; -5,36; 9,40; 2716450416
4,34; -5,25; 8,22; 2716450432
3,18; -5,95; 7,46; 2716450451
3,41; -5,42; 5,89; 2716450468
4,39; -4,87; 6,25; 2716450488
4,17; -5,60; 6,11; 2716450509
3,71; -5,90; 5,19; 2716450532
4,55; -5,18; 6,74; 2716450549
4,93; -5,48; 8,75; 2716450566
4,09; -6,35; 6,11; 2716450588
3,94; -6,79; 6,18; 2716450606
4,25; -7,10; 7,04; 2716450625
4,93; -6,72; 7,02; 2716450649
4,90; -6,83; 6,50; 2716450664
4,80; -6,82; 6,07; 2716450682
4,68; -6,59; 6,09; 2716450704
4,53; -6,49; 6,06; 2716450721
4,38; -6,27; 6,06; 2716450741
4,33; -6,26; 5,96; 2716450760
4,35; -6,11; 5,94; 2716450782
4,44; -5,95; 6,14; 2716450798
4,49; -5,86; 6,36; 2716450820
4,49; -5,85; 6,36; 2716450837
4,40; -5,71; 6,49; 2716450857
4,51; -5,78; 6,59; 2716450884
4,03; -5,95; 6,71; 2716450900
4,11; -6,02; 6,79; 2716450915
4,27; -6,09; 6,53; 2716450934
4,32; -6,02; 6,59; 2716450954
4,31; -6,06; 6,43; 2716450973
4,37; -5,93; 6,52; 2716450996
4,32; -5,82; 6,60; 2716451012
4,23; -5,79; 6,65; 2716451031
4,17; -5,86; 6,74; 2716451051
4,15; -5,95; 6,66; 2716451070
4,17; -5,92; 6,68; 2716451090
4,18; -5,79; 6,72; 2716451113
4,77; -5,39; 6,81; 2716451131
5,28; -4,80; 5,93; 2716451146
5,20; -4,91; 5,90; 2716451166
5,26; -4,73; 5,75; 2716451186
6,22; -4,73; 5,58; 2716604937
7,10; -4,61; 6,26; 2716604957
6,63; -5,22; 6,87; 2716604976
7,70; -4,91; 6,38; 2716604997
7,64; -4,85; 5,57; 2716605015
6,98; -5,10; 5,24; 2716605035
5,02; -6,60; 4,66; 2716605053
1,79; -8,84; 4,78; 2716605073
4,67; -5,83; 5,42; 2716605093
7,27; -3,71; 4,84; 2716605116
6,94; -4,59; 5,16; 2716605130
5,03; -6,55; 3,84; 2716605151
5,33; -7,44; 4,31; 2716605170
6,57; -6,19; 5,47; 2716605190
4,35; -9,20; 3,53; 2716605213
10,68; -4,48; 3,62; 2716605230
8,79; -3,23; 3,65; 2716605247
8,46; -4,15; 2,23; 2716605267
8,85; -3,17; 2,10; 2716605287
9,03; -3,20; 2,35; 2716605306
8,12; -4,70; 2,71; 2716605326
8,73; -4,78; 2,87; 2716605346
9,07; -4,46; 2,24; 2716605364
9,35; -3,57; 1,82; 2716605383
9,41; -2,75; 0,29; 2716605403
8,97; -1,52; 0,71; 2716605422
8,87; -3,31; 1,88; 2716605442
